time,seconds_elapsed,dBFS
1723738196062000000,20.669000244140626,-77.89801788330078
1723738196162000000,20.768999755859376,-78.237060546875
1723738196262000000,20.869000244140626,-78.994873046875
1723738196362000000,20.968999755859375,-79.25508880615234
1723738196462000000,21.069000244140625,-80.27305603027344
1723738196563000000,21.17,-80.74539947509766
1723738196662000000,21.269000244140624,-81.34075927734375
1723738196762000000,21.368999755859374,-80.56583404541016
1723738196862000000,21.469000244140624,-79.37037658691406
1723738196962000000,21.568999755859377,-68.24007415771484
1723738197062000000,21.669000244140626,-43.11113357543945
1723738197162000000,21.768999755859376,-43.157371520996094
1723738197262000000,21.869000244140626,-46.2922477722168
1723738197362000000,21.968999755859375,-50.2215461730957
1723738197462000000,22.069000244140625,-55.994346618652344
1723738197562000000,22.168999755859375,-59.792293548583984
1723738197662000000,22.269000244140624,-63.36695098876953
1723738197762000000,22.368999755859374,-67.21536254882812
1723738197862000000,22.469000244140624,-69.55052185058594
1723738197962000000,22.568999755859377,-71.02066802978516
1723738198062000000,22.669000244140626,-72.65782165527344
1723738198162000000,22.768999755859376,-74.0390625
1723738198262000000,22.869000244140626,-75.17095947265625
1723738198362000000,22.968999755859375,-75.66809844970703
1723738198463000000,23.07,-76.98542785644531
1723738198563000000,23.17,-74.2529296875
1723738198662000000,23.269000244140624,-74.9665298461914
1723738198779000000,23.386,-75.62073516845703
1723738198896000000,23.503,-72.12120056152344
1723738198996000000,23.603,-74.09362030029297
1723738199096000000,23.703,-75.55195617675781
1723738199196000000,23.803,-76.8211898803711
1723738199296000000,23.903,-78.57942199707031
1723738199395000000,24.002,-76.95429229736328
1723738199496000000,24.103,-71.69544219970703
1723738199596000000,24.203,-74.1698989868164
1723738199695000000,24.302,-72.97055053710938
1723738199795000000,24.402,-66.56217956542969
1723738199895000000,24.502,-70.55724334716797
1723738199995000000,24.602,-72.21105194091797
1723738200096000000,24.703,-73.9733657836914
1723738200195000000,24.802,-76.75847625732422
1723738200295000000,24.902,-77.6479263305664
1723738200395000000,25.002,-76.82176208496094
1723738200496000000,25.103,-77.47543334960938
1723738200595000000,25.202,-77.94660949707031
1723738200695000000,25.302,-79.14022064208984
1723738200795000000,25.402,-78.59069061279297
1723738200895000000,25.502,-75.43059539794922
1723738200995000000,25.602,-76.94257354736328
1723738201095000000,25.702,-76.56434631347656
1723738201195000000,25.802,-77.9489517211914
1723738201295000000,25.902,-78.96988677978516
1723738201395000000,26.002,-79.01242065429688
1723738201495000000,26.102,-78.24633026123047
1723738201595000000,26.202,-78.45024108886719
1723738201695000000,26.302,-78.70022583007812
1723738201795000000,26.402,-54.41628646850586
1723738201895000000,26.502,-60.02008819580078
1723738201995000000,26.602,-63.39468765258789
1723738202096000000,26.703,-66.30803680419922
1723738202195000000,26.802,-69.93968963623047
1723738202295000000,26.902,-71.08039855957031
1723738202395000000,27.002,-69.56666564941406
1723738202496000000,27.103,-71.89476776123047
1723738202595000000,27.202,-74.00050354003906
1723738202695000000,27.302,-74.8883285522461
1723738202795000000,27.402,-74.30632019042969
1723738202895000000,27.502,-75.17841339111328
1723738202995000000,27.602,-76.02186584472656
1723738203095000000,27.702,-76.07279205322266
1723738203195000000,27.802,-71.6559829711914
1723738203295000000,27.902,-73.21346282958984
1723738203395000000,28.002,-74.79837799072266
1723738203495000000,28.102,-75.88996887207031
1723738203595000000,28.202,-77.35983276367188
1723738203695000000,28.302,-52.39434051513672
1723738203795000000,28.402,-43.07952880859375
1723738203895000000,28.502,-48.76283645629883
1723738203995000000,28.602,-52.48381805419922
1723738204095000000,28.702,-56.27431869506836
1723738204196000000,28.803,-61.14977264404297
1723738204295000000,28.902,-64.15919494628906
1723738204395000000,29.002,-66.43220520019531
1723738204495000000,29.102,-69.9395980834961
1723738204595000000,29.202,-71.8051528930664
1723738204695000000,29.302,-73.50569915771484
1723738204795000000,29.402,-75.44882202148438
1723738204895000000,29.502,-73.26918029785156
1723738204995000000,29.602,-74.47087097167969
1723738205095000000,29.702,-75.93915557861328
1723738205195000000,29.802,-76.60969543457031
1723738205295000000,29.902,-74.09091186523438
1723738205395000000,30.002,-76.15115356445312
1723738205496000000,30.103,-54.55196762084961
1723738205595000000,30.202,-51.82469940185547
1723738205695000000,30.302,-56.788108825683594
1723738205795000000,30.402,-60.04208755493164
1723738205895000000,30.502,-63.2451286315918
1723738205995000000,30.602,-67.8762435913086
1723738206095000000,30.702,-70.1842041015625
1723738206195000000,30.802,-71.54357147216797
1723738206295000000,30.902,-72.33660125732422
1723738206395000000,31.002,-64.41730499267578
1723738206495000000,31.102,-64.41694641113281
1723738206595000000,31.202,-67.40154266357422
1723738206695000000,31.302,-68.98429870605469
1723738206812000000,31.419,-70.38860321044922
1723738206928000000,31.535,-71.97561645507812
1723738207028000000,31.635,-61.813690185546875
1723738207128000000,31.735,-63.44026184082031
1723738207228000000,31.835,-66.08818054199219
1723738207328000000,31.935,-68.5015640258789
1723738207428000000,32.035,-71.0943603515625
1723738207529000000,32.136,-73.40347290039062
1723738207628000000,32.235,-74.8849105834961
1723738207728000000,32.335,-73.54496765136719
1723738207828000000,32.435,-71.21363067626953
1723738207928000000,32.535,-72.37984466552734
1723738208028000000,32.635,-73.53427124023438
1723738208128000000,32.735,-75.38378143310547
1723738208228000000,32.835,-76.83091735839844
1723738208329000000,32.936,-76.69509887695312
1723738208428000000,33.035,-77.27831268310547
1723738208528000000,33.135,-77.65020751953125
1723738208629000000,33.236,-74.14649963378906
1723738208821000000,33.428,-68.44426727294922
1723738208923000000,33.53,-68.32428741455078
1723738209026000000,33.63299975585937,-70.03339385986328
1723738209131000000,33.738,-69.98079681396484
1723738209236000000,33.843,-71.49790954589844
1723738209338000000,33.94499975585938,-65.75995635986328
1723738209444000000,34.051,-68.62004089355469
1723738209548000000,34.155,-71.01227569580078
1723738209652000000,34.259,-72.50077819824219
1723738209757000000,34.364,-59.92902755737305
1723738209863000000,34.47,-61.49285888671875
1723738209967000000,34.574,-65.00560760498047
1723738210068000000,34.675,-67.52617645263672
1723738210172000000,34.779,-69.90191650390625
1723738210274000000,34.88099975585938,-71.52655029296875
1723738210377000000,34.984,-72.75633239746094
1723738210492000000,35.099,-74.11604309082031
1723738210588000000,35.195,-75.1213607788086
1723738210688000000,35.295,-74.22948455810547
1723738210792000000,35.399,-75.36583709716797
1723738210898000000,35.50499975585937,-75.21548461914062
1723738211002000000,35.60899975585937,-76.15245056152344
1723738211107000000,35.714,-74.81438446044922
1723738211211000000,35.818,-73.7021255493164
1723738211317000000,35.924,-74.75782775878906
1723738211419000000,36.026,-76.23761749267578
1723738211524000000,36.131,-76.73299407958984
1723738211628000000,36.235,-74.48627471923828
1723738211732000000,36.339,-68.16606903076172
1723738211835000000,36.442,-70.66909790039062
1723738211939000000,36.546,-72.56487274169922
1723738212044000000,36.651,-74.21334075927734
1723738212148000000,36.755,-71.80089569091797
1723738212252000000,36.859,-73.48884582519531
1723738212356000000,36.963,-71.77828979492188
1723738212462000000,37.069000244140625,-69.91690063476562
1723738212565000000,37.172,-71.01697540283203
1723738212669000000,37.276,-70.15105438232422
1723738212773000000,37.38,-71.13119506835938
1723738212876000000,37.483,-71.93330383300781
1723738212976000000,37.583,-73.23564147949219
1723738213081000000,37.688,-74.05377197265625
1723738213185000000,37.792,-74.60535430908203
1723738213289000000,37.896,-74.20686340332031
1723738213394000000,38.000999755859375,-68.73200225830078
1723738213499000000,38.106,-64.51535034179688
1723738213602000000,38.208999755859374,-66.08177947998047
1723738213706000000,38.31299975585937,-67.62388610839844
1723738213806000000,38.413000244140626,-70.70034790039062
1723738213911000000,38.518,-69.82511901855469
1723738214012000000,38.619,-71.51314544677734
1723738214117000000,38.724,-72.1522445678711
1723738214222000000,38.82900024414062,-69.8947525024414
1723738214326000000,38.93300024414062,-69.50596618652344
1723738214429000000,39.036,-70.2428207397461
1723738214534000000,39.14100024414063,-64.4769515991211
1723738214638000000,39.24500024414063,-66.32926177978516
1723738214739000000,39.346,-69.2234115600586
1723738214844000000,39.451,-70.69871520996094
1723738214945000000,39.552,-49.051475524902344
1723738215046000000,39.65300024414063,-53.89704513549805
1723738215148000000,39.755,-57.3769645690918
1723738215250000000,39.85699975585938,-61.910552978515625
1723738215352000000,39.959,-64.76905822753906
1723738215460000000,40.067,-68.1194076538086
1723738215559000000,40.166,-70.43569946289062
1723738215663000000,40.27,-72.33538055419922
1723738215768000000,40.375,-74.58393859863281
1723738215872000000,40.479,-74.91468048095703
1723738215977000000,40.584,-72.66998291015625
1723738216078000000,40.685000244140625,-69.06535339355469
1723738216183000000,40.79,-70.96619415283203
1723738216285000000,40.892,-72.54936981201172
1723738216390000000,40.99700024414062,-74.06307220458984
1723738216495000000,41.102,-73.07113647460938
1723738216595000000,41.202,-72.102294921875
1723738216700000000,41.307,-73.0256576538086
1723738216801000000,41.408,-73.76942443847656
1723738216906000000,41.512999755859376,-74.76618957519531
1723738217008000000,41.615,-76.04190826416016
1723738217109000000,41.716,-76.95389556884766
1723738217210000000,41.81699975585938,-66.97586822509766
1723738217315000000,41.922,-68.77449035644531
1723738217418000000,42.024999755859376,-70.26454162597656
1723738217524000000,42.131,-68.67180633544922
1723738217625000000,42.232,-68.76179504394531
1723738217730000000,42.336999755859374,-69.55589294433594
1723738217835000000,42.442,-71.2280502319336
1723738217939000000,42.546,-70.2511978149414
1723738218044000000,42.651,-70.96085357666016
1723738218145000000,42.752,-63.55298614501953
1723738218251000000,42.858,-64.89785766601562
1723738218356000000,42.963,-67.25032043457031
1723738218458000000,43.064999755859375,-70.70459747314453
1723738218560000000,43.167,-72.66859436035156
1723738218665000000,43.272,-73.73115539550781
1723738218769000000,43.376,-74.58184051513672
1723738218874000000,43.48099975585937,-45.933834075927734
1723738218977000000,43.584,-49.274696350097656
1723738219082000000,43.68899975585938,-52.86861038208008
1723738219184000000,43.791,-58.25553894042969
1723738219289000000,43.896,-61.77418899536133
1723738219394000000,44.000999755859375,-66.56494903564453
1723738219500000000,44.107,-69.23057556152344
1723738219605000000,44.212,-72.6271743774414
1723738219705000000,44.312,-74.16970825195312
1723738219811000000,44.418,-76.1750259399414
1723738219916000000,44.523,-72.13345336914062
1723738220021000000,44.628,-73.24479675292969
1723738220123000000,44.73,-73.863525390625
1723738220224000000,44.831,-73.90059661865234
1723738220327000000,44.934,-76.15979766845703
1723738220432000000,45.039,-77.4073486328125
1723738220532000000,45.139,-78.47380065917969
1723738220634000000,45.24099975585938,-78.41805267333984
1723738220735000000,45.342,-78.56844329833984
1723738220836000000,45.443,-76.54965209960938
1723738220938000000,45.54499975585937,-77.2651596069336
1723738221043000000,45.65,-76.32205200195312
1723738221148000000,45.755,-74.84234619140625
1723738221250000000,45.85699975585938,-71.03777313232422
1723738221349000000,45.956,-71.14561462402344
1723738221452000000,46.059,-73.02796173095703
1723738221552000000,46.159,-73.85038757324219
1723738221657000000,46.264,-75.48799896240234
1723738221762000000,46.36899975585938,-77.0557861328125
1723738221866000000,46.47299975585938,-76.37437438964844
1723738221970000000,46.576999755859376,-76.60303497314453
1723738222075000000,46.682,-70.08167266845703
1723738222180000000,46.787,-67.03877258300781
1723738222281000000,46.888,-66.25952911376953
1723738222383000000,46.99,-69.6251220703125
1723738222488000000,47.095,-70.76565551757812
1723738222593000000,47.2,-72.81459045410156
1723738222699000000,47.306,-74.12063598632812
1723738222803000000,47.41,-75.2013168334961
1723738222908000000,47.515,-75.94779205322266
1723738223012000000,47.619,-75.64802551269531
1723738223116000000,47.723,-75.58158111572266
1723738223220000000,47.827,-76.64813232421875
1723738223323000000,47.93,-76.15416717529297
1723738223428000000,48.035,-76.74317169189453
1723738223534000000,48.14100024414063,-77.26907348632812
1723738223638000000,48.24500024414063,-77.8725357055664
1723738223743000000,48.35,-76.75505065917969
1723738223848000000,48.455,-76.5604248046875
1723738223953000000,48.56,-76.07552337646484
1723738224058000000,48.66499975585938,-75.77041625976562
1723738224162000000,48.768999755859376,-77.45166778564453
1723738224266000000,48.872999755859375,-77.75377655029297
1723738224371000000,48.978,-77.21292877197266
1723738224477000000,49.084,-78.245361328125
1723738224577000000,49.184,-78.03939819335938
1723738224683000000,49.29,-77.19107055664062
1723738224786000000,49.39299975585938,-75.7213363647461
1723738224891000000,49.498,-75.64389038085938
1723738224995000000,49.602,-76.11193084716797
1723738225100000000,49.707,-73.83184814453125
1723738225201000000,49.808,-74.67377471923828
1723738225303000000,49.91,-75.30244445800781
1723738225406000000,50.01300024414063,-67.97075653076172
1723738225512000000,50.119,-70.7092056274414
1723738225616000000,50.223,-74.74766540527344
1723738225721000000,50.328,-77.55760955810547
1723738225825000000,50.432,-81.15473175048828
1723738225929000000,50.536,-54.50920104980469
1723738226033000000,50.64,-58.51728057861328
1723738226136000000,50.743,-64.04335021972656
1723738226240000000,50.847,-66.33513641357422
1723738226345000000,50.952,-68.88419342041016
1723738226450000000,51.05699975585937,-71.51864624023438
1723738226552000000,51.159,-63.14197540283203
1723738226657000000,51.264,-62.26365280151367
1723738226762000000,51.36899975585938,-63.62468338012695
1723738226863000000,51.47,-47.677452087402344
1723738226966000000,51.57300024414062,-51.264041900634766
1723738227069000000,51.676,-56.49541091918945
1723738227174000000,51.78100024414063,-59.60602951049805
1723738227276000000,51.883,-63.86654281616211
1723738227381000000,51.988,-66.4112319946289
1723738227484000000,52.091,-68.38629913330078
1723738227584000000,52.191,-71.04363250732422
1723738227687000000,52.294,-72.02711486816406
1723738227789000000,52.396,-72.15321350097656
1723738227893000000,52.5,-70.84994506835938
1723738227998000000,52.605000244140626,-70.910888671875
1723738228101000000,52.708,-57.92232131958008
1723738228205000000,52.812,-59.82154083251953
1723738228310000000,52.917000244140624,-63.038700103759766
1723738228415000000,53.022,-64.67294311523438
1723738228521000000,53.128,-67.30660247802734
1723738228625000000,53.232,-67.79776000976562
1723738228730000000,53.336999755859374,-69.61322021484375
1723738228835000000,53.442,-70.33716583251953
1723738228940000000,53.547,-71.69918823242188
1723738229045000000,53.652,-72.37413787841797
1723738229147000000,53.754,-72.24097442626953
1723738229252000000,53.859,-71.45809936523438
1723738229356000000,53.963,-72.35446166992188
1723738229458000000,54.064999755859375,-62.673377990722656
1723738229563000000,54.17,-64.9944076538086
1723738229668000000,54.275,-68.34212493896484
1723738229773000000,54.38,-69.8539810180664
1723738229878000000,54.48500024414062,-72.04073333740234
1723738229983000000,54.59,-71.73944854736328
1723738230088000000,54.695,-70.7605209350586
1723738230193000000,54.8,-67.34437561035156
1723738230294000000,54.901000244140626,-66.68346405029297
1723738230399000000,55.006,-62.498897552490234
1723738230505000000,55.112,-63.77505874633789
1723738230609000000,55.216,-61.435150146484375
1723738230714000000,55.320999755859376,-62.61714553833008
1723738230819000000,55.426,-64.01446533203125
1723738230924000000,55.531,-64.32174682617188
1723738231028000000,55.635,-64.6263427734375
1723738231128000000,55.735,-65.77140808105469
1723738231229000000,55.836,-60.13991165161133
1723738231333000000,55.94,-56.53382110595703
1723738231438000000,56.045000244140624,-58.104461669921875
1723738231541000000,56.148,-60.1758918762207
1723738231641000000,56.248,-50.07865524291992
1723738231745000000,56.352,-52.50812530517578
1723738231850000000,56.45699975585938,-56.45228958129883
1723738231954000000,56.56099975585938,-58.3332633972168
1723738232055000000,56.662,-60.48507308959961
1723738232158000000,56.76500024414062,-61.9103889465332
1723738232263000000,56.87,-62.602073669433594
1723738232368000000,56.975,-63.72747802734375
1723738232475000000,57.082,-60.419654846191406
1723738232574000000,57.18100024414063,-52.475093841552734
1723738232679000000,57.286,-55.06487274169922
1723738232781000000,57.388,-58.37107467651367
1723738232887000000,57.494,-58.08528137207031
1723738232989000000,57.596,-57.835845947265625
1723738233092000000,57.699,-61.204498291015625
1723738233192000000,57.799,-62.091373443603516
1723738233294000000,57.901000244140626,-61.919376373291016
1723738233395000000,58.002,-63.14310836791992
1723738233496000000,58.103,-64.21479034423828
1723738233598000000,58.20500024414063,-65.17008972167969
1723738233703000000,58.31,-65.0582275390625
1723738233808000000,58.415,-66.40328216552734
1723738233913000000,58.52,-67.27338409423828
1723738234018000000,58.62499975585938,-65.27903747558594
1723738234123000000,58.73,-64.82234954833984
1723738234229000000,58.836,-64.72228240966797
